run_id,kind,n_reviews,wid,realized,belief,tstar,theta_tech,theta_grid,theta_ccs,scrap_rate,ccoal_price,ng_price,scrap_price,ccoal,ng,status,pv_cost_B,lcop_pv,slack_Mt,import_Mt,ccs_Mt,committed_B,stranded_B,str_conv_B,str_h2dri_B,str_h2supply_B,str_ccs_B,str_scrapchain_B,str_othchain_B,int_achieved,solve_s
final_2030_4,final,4,2030_4,2030,2030,2045,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.445103118316,565.9711392462239,0.0,0.0,522.8870962470108,847.7622568499141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.75
settle_n4_2030_4,settle_n4,4,2030_4,2030,2030,2051,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031183173,565.9711392462243,0.0,0.0,522.8870962470108,1253.7625259234053,82.4159003773952,20.066677308385238,28.54477743634429,33.804445632665576,9.245238364633724e-14,0.0,0.0,1.7999999999999998,0.61
pf_2030_6,pf,,2030_6,2030,2030,2025,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575936,533.3369895458227,0.0,0.0,642.4714888130982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,2.67
norec_2030_6,norec,0,2030_6,2030,2030,2051,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1904.0631709273648,540.3231206322199,0.0,0.0,1077.4201110686497,1156.655146275034,45.418293589096585,29.297007840379266,0.2872221785520186,15.8340635701653,0.0,0.0,0.0,1.8000000000000003,0.68
chk2030_2030_6,chk2030,1,2030_6,2030,2030,2030,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575927,533.3369895458225,0.0,0.0,642.4714888130982,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.44
settle_n1_2030_6,settle_n1,1,2030_6,2030,2030,2051,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575938,533.3369895458228,0.0,0.0,642.4714888131501,1209.4238121222306,74.87892362699263,16.38304912080697,24.047892361071227,34.44798214511442,0.0,0.0,0.0,1.799999999999999,0.69
chk2035_2030_6,chk2035,2,2030_6,2030,2030,2035,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575924,533.3369895458223,0.0,0.0,642.4714888130982,132.1428795279708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.54
settle_n2_2030_6,settle_n2,2,2030_6,2030,2030,2051,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575924,533.3369895458223,0.0,0.0,642.4714888130989,1209.4238121222265,74.87892362698625,16.383049120805534,24.04789236106755,34.44798214511316,1.991647965243743e-15,0.0,0.0,1.8000000000000003,0.75
chk2040_2030_6,chk2040,3,2030_6,2030,2030,2040,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575936,533.3369895458227,0.0,0.0,642.4714888130984,487.2395225025755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.57
settle_n3_2030_6,settle_n3,3,2030_6,2030,2030,2051,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575922,533.3369895458223,0.0,0.0,642.4714888130998,1209.4238121221822,74.8789236269768,16.383049120805836,24.047892361057873,34.4479821451131,0.0,0.0,0.0,1.8000000000000007,1.54
final_2030_6,final,4,2030_6,2030,2030,2045,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575918,533.3369895458222,0.0,0.0,642.4714888131002,843.2636170546135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,0.79
settle_n4_2030_6,settle_n4,4,2030_6,2030,2030,2051,0.75,0.25,0.5,0.06,400,5,250,abundant,abundant,solved,1879.4445040575922,533.3369895458223,0.0,0.0,642.4714888131194,1209.4238121222309,74.87892362698923,16.383049120803822,24.04789236107109,34.44798214511431,0.0,0.0,0.0,1.8000000000000007,0.73
pf_2030_3,pf,,2030_3,2030,2030,2025,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.4390954695114,613.0758746997832,0.0,0.0,2635.2027804358886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,3.41
norec_2030_3,norec,0,2030_3,2030,2030,2051,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2244.151033794149,636.8311242316096,0.0,0.0,2737.364640378353,1239.3734248647536,191.10360866854427,172.6076655520232,0.0,0.0,12.385893381309723,6.110049735211349,0.0,1.8000000000000003,1.07
chk2030_2030_3,chk2030,1,2030_3,2030,2030,2030,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.603444656759,613.1225126827467,0.0,0.0,2635.202780435889,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.91
settle_n1_2030_3,settle_n1,1,2030_3,2030,2030,2051,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.6034446567965,613.1225126827574,0.0,0.0,2635.2027804358895,1630.0319859648598,124.064859075133,33.28397640962209,27.05883252640657,61.453578399168514,2.268471739935829,0.0,0.0,1.8,1.07
chk2035_2030_3,chk2035,2,2030_3,2030,2030,2035,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.603444656787,613.1225126827546,0.0,0.0,2635.202780435887,172.61582338184104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,0.61
settle_n2_2030_3,settle_n2,2,2030_3,2030,2030,2051,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.6034446567896,613.1225126827554,0.0,0.0,2635.2027804358845,1630.0319859648584,124.06485907513226,33.28397640962446,27.058832526403716,61.45357839916845,2.268471739935639,0.0,0.0,1.8000000000000003,1.17
chk2040_2030_3,chk2040,3,2030_3,2030,2030,2040,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.6034446567865,613.1225126827544,0.0,0.0,2635.2027804358872,569.3299886320374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,0.8
settle_n3_2030_3,settle_n3,3,2030_3,2030,2030,2051,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.603444656791,613.1225126827558,0.0,0.0,2635.2027804358922,1630.031985964858,124.06485907513485,33.28397640962335,27.058832526405524,61.453578399170254,2.2684717399357135,0.0,0.0,1.8,0.75
final_2030_3,final,4,2030_3,2030,2030,2045,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.6034446567874,613.1225126827546,0.0,0.0,2635.2027804358872,1074.2334096275047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.05
settle_n4_2030_3,settle_n4,4,2030_3,2030,2030,2051,0.5,0.5,0.25,0.02,400,5,350,scarce,scarce,solved,2160.6034446567965,613.1225126827572,0.0,0.0,2635.2027804358863,1630.0319859648562,124.06485907513301,33.28397640962389,27.058832526404892,61.453578399168514,2.2684717399357144,0.0,0.0,1.7999999999999998,0.7
pf_2030_8,pf,,2030_8,2030,2030,2025,0.0,0.25,1.0,0.08,400,5,250,abundant,scarce,solved,1873.8298759475858,531.743705547734,0.0,0.0,1591.7046315811685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000014,0.45
norec_2030_8,norec,0,2030_8,2030,2030,2051,0.0,0.25,1.0,0.08,400,5,250,abundant,scarce,solved,1953.5460381886812,554.3650587699354,0.0,0.0,313.8898097058574,1390.002826847091,159.6623061849636,86.51724898765458,20.100596544504135,46.03176901337606,7.012691639428813,0.0,0.0,1.7999999999999996,0.55
chk2030_2030_8,chk2030,1,2030_8,2030,2030,2030,0.0,0.25,1.0,0.08,400,5,250,abundant,scarce,solved,1873.8298759475863,531.7437055477341,0.0,0.0,1591.7046315811679,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,0.63
settle_n1_2030_8,settle_n1,1,2030_8,2030,2030,2051,0.0,0.25,1.0,0.08,400,5,250,abundant,scarce,solved,1873.8298759475888,531.7437055477347,0.0,0.0,1591.7046315811629,1074.6072901869443,70.20524604382456,35.735519438991204,12.499903526312922,21.969823078520392,4.049842550590774e-14,0.0,0.0,1.8,1.33
chk2035_2030_8,chk2035,2,2030_8,2030,2030,2035,0.0,0.25,1.0,0.08,400,5,250,abundant,scarce,solved,1873.8298759475856,531.7437055477338,0.0,0.0,1591.7046315811697,89.80609412588001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.18
